period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
1,00:24:27.217,24,27,0,0,904,Bayer Leverkusen,32289,Victor Okoh Boniface,0.7835,"[120.0, 42.9, 1.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Medium
1,00:39:18.329,39,18,0,0,746,Manchester City WFC,5087,Samantha June Mewis,0.7835,"[119.6, 36.9, 1.1]",40,Right Foot,88,Penalty,100,Saved,93,Normal,"[{'location': [120.0, 39.9], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0,0,Left,Medium
2,00:37:55.321,82,55,1,0,746,Manchester City WFC,4949,Rosemary Kathleen Lavelle,0.7835,"[120.0, 37.3, 1.1]",38,Left Foot,88,Penalty,100,Saved,93,Normal,"[{'location': [119.9, 39.8], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",1,0,Left,High
2,00:04:16.854,49,16,1,3,322,Eibar,6566,Borja González Tomás,0.7835,"[120.0, 36.9, 2.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Left,Low
2,00:41:36.563,86,36,1,1,28,AFC Bournemouth,3345,Charlie Daniels,0.7835,"[120.0, 42.4, 2.1]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
1,00:12:58.407,12,58,1,0,222,Villarreal,20135,Marcos Antonio Senna da Silva,0.7835,"[120.0, 41.8, 1.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Right,Medium
1,00:34:18.479,34,18,2,1,222,Villarreal,20135,Marcos Antonio Senna da Silva,0.7835,"[120.0, 40.2, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Centre,Medium
2,00:27:59.585,72,59,1,0,218,Real Betis,6832,Rubén Castro Martín,0.7835,"[120.0, 43.8, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Right,High
2,00:44:03.129,89,3,1,1,169,Bayern Munich,5562,Thomas Müller,0.7835,"[120.0, 37.4, 1.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,Extreme
2,00:15:53.181,60,53,0,1,226,Hellas Verona,6686,Giampaolo Pazzini,0.7835,"[120.0, 43.0, 2.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,High
1,00:18:04.793,18,4,0,0,212,Atlético Madrid,6381,Saúl Ñíguez Esclapez,0.7835,"[120.0, 43.3, 0.2]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Medium
